month,missions,revenue_inr,gross_margin_inr,active_customers,success_rate,avg_battery_health,mrr_proxy_inr
2023-04,216,2553420.98,2230446.74,169,88.42592592592592,89.61949074074074,2553420.98
2023-05,232,2836978.68,2455231.05,173,80.17241379310344,90.03900862068966,2836978.68
2023-06,212,2499299.39,2162608.95,169,83.49056603773585,89.40334905660377,2499299.39
2023-07,237,2722026.63,2376424.05,184,85.23206751054853,89.37573839662447,2722026.63
2023-08,249,3116722.96,2740430.24,186,87.95180722891565,89.990281124498,3116722.96
2023-09,212,2424548.11,2113437.64,170,85.37735849056604,89.8957075471698,2424548.11
2023-10,231,2934018.92,2566130.2800000003,184,84.84848484848484,89.46493506493508,2934018.92
2023-11,216,2504453.55,2173663.55,173,86.11111111111111,89.68152777777777,2504453.55
2023-12,204,2466455.91,2122699.59,156,78.43137254901961,89.34245098039216,2466455.91
2024-01,217,2592943.69,2253512.36,178,88.0184331797235,89.15267281105992,2592943.69
2024-02,203,2482620.02,2161154.1,161,85.22167487684729,89.5628078817734,2482620.02
2024-03,222,2531505.29,2186167.38,170,82.43243243243244,89.09378378378378,2531505.29
2024-04,206,2591832.16,2279949.37,164,86.89320388349515,89.60917475728156,2591832.16
2024-05,199,2474882.04,2166003.2,148,82.91457286432161,89.32778894472362,2474882.04
2024-06,189,2214504.05,1917154.09,156,84.12698412698413,89.86698412698414,2214504.05
2024-07,238,2825793.6,2457662.34,182,84.87394957983193,89.54798319327732,2825793.6
2024-08,215,2296903.66,1980104.46,179,84.18604651162791,89.91181395348838,2296903.66
2024-09,222,2552980.75,2209542.82,179,83.78378378378379,90.23828828828829,2552980.75
2024-10,234,2920627.83,2565223.79,181,82.47863247863248,90.1852564102564,2920627.83
2024-11,216,2460047.06,2132048.59,167,81.94444444444444,89.20527777777778,2460047.06
2024-12,215,2360889.48,2030211.28,165,85.11627906976744,89.8086511627907,2360889.48
2025-01,252,2721164.86,2353851.95,194,84.12698412698413,89.64031746031746,2721164.86
2025-02,208,2423808.53,2106801.51,169,81.25,89.31918269230769,2423808.53
2025-03,250,3098486.14,2751090.76,195,83.6,89.435,3098486.14
2025-04,242,2784757.46,2441866.18,191,85.53719008264463,89.07355371900826,2784757.46
2025-05,225,2737566.52,2376278.02,181,80.0,89.0908,2737566.52
2025-06,227,2664499.5,2314853.86,177,80.1762114537445,90.09299559471366,2664499.5
2025-07,239,2625223.23,2270643.43,188,81.17154811715481,89.13150627615063,2625223.23
2025-08,238,2835884.91,2464448.27,181,86.5546218487395,89.4785294117647,2835884.91
2025-09,221,2714726.33,2371040.51,181,86.87782805429865,90.12253393665159,2714726.33
2025-10,207,2509642.25,2184005.67,175,82.6086956521739,89.14062801932367,2509642.25
2025-11,184,2100922.41,1814153.18,150,82.6086956521739,89.31625,2100922.41
2025-12,228,2605134.08,2271415.84,174,84.21052631578947,89.26916666666666,2605134.08
2026-01,248,2937271.24,2559179.69,196,83.46774193548387,89.36250000000001,2937271.24
2026-02,205,2311780.1,1988082.85,161,85.36585365853658,90.01214634146342,2311780.1
2026-03,218,2699699.68,2343328.39,165,81.65137614678899,89.19458715596329,2699699.68
2026-04,201,2358176.93,2051897.45,157,86.06965174129353,89.6023383084577,2358176.93
2026-05,216,2607556.84,2268369.05,170,85.18518518518519,89.55166666666666,2607556.84
2026-06,216,2654594.69,2307863.93,175,87.03703703703704,89.7313425925926,2654594.69
2026-07,244,3005110.81,2612818.44,193,81.9672131147541,89.26184426229509,3005110.81
