mission_id,drone_id,mission_date,mission_start_time,manufacturer,mission_type,battery_health_pct,battery_start_pct,wind_speed_mps,signal_strength_pct,gps_accuracy_m,payload_utilization_pct,maintenance_due,days_since_last_service,operator_experience_years,maintenance_risk,wind_risk,signal_risk,gps_risk,battery_risk,start_battery_risk,payload_risk,service_risk,ai_schedule_risk_score,schedule_priority
MSN-2021-010468,DRN-0183,2021-09-06,15:44:41,Custom,Tower Inspection,95.9,91.46,1.89,98.05,0.34,2.44,No,9,6.3,0,0.126,0.0,0.0,0.0,0.0,0.024399999999999998,0.075,3.7171999999999996,High priority / low risk
MSN-2021-005520,DRN-0451,2021-09-22,20:05:02,DJI,Emergency Response,91.74,93.16,0.91,89.41,0.2,14.12,No,18,5.9,0,0.06066666666666667,0.0,0.0,0.0,0.0,0.1412,0.15,3.9642666666666666,High priority / low risk
MSN-2023-009566,DRN-0228,2023-01-22,02:34:50,Custom,Bridge Inspection,92.79,91.34,0.87,93.58,0.39,30.83,No,3,6.8,0,0.058,0.0,0.0,0.0,0.0,0.30829999999999996,0.025,3.9924,High priority / low risk
MSN-2025-010154,DRN-0700,2025-11-20,20:40:23,Parrot,Tower Inspection,91.41,98.33,0.78,92.17,0.41,9.69,No,26,7.1,0,0.052000000000000005,0.0,0.0,0.0,0.0,0.0969,0.21666666666666667,4.085866666666667,High priority / low risk
MSN-2024-014317,DRN-0463,2024-07-17,14:06:26,Parrot,Wind Turbine Inspection,88.9,92.64,0.6,94.66,0.55,3.45,No,26,3.0,0,0.04,0.0,0.020000000000000018,0.03666666666666648,0.0,0.0345,0.21666666666666667,4.115999999999998,High priority / low risk
MSN-2023-010303,DRN-0226,2023-08-09,02:49:03,Custom,Stockpile Measurement,98.62,79.8,1.02,85.86,0.87,6.45,No,0,6.3,0,0.068,0.0,0.148,0.0,0.0040000000000000565,0.0645,0.0,4.1160000000000005,High priority / low risk
MSN-2023-006208,DRN-0404,2023-04-26,16:52:01,Parrot,Power Line Inspection,95.61,89.16,1.22,98.18,0.58,9.58,No,14,0.6,0,0.08133333333333333,0.0,0.03199999999999999,0.0,0.0,0.0958,0.11666666666666667,4.1704,High priority / low risk
MSN-2023-003263,DRN-0616,2023-01-05,08:33:02,Autel,Crop Health Survey,96.25,95.89,2.01,96.37,0.15,11.29,No,4,7.6,0,0.13399999999999998,0.0,0.0,0.0,0.0,0.11289999999999999,0.03333333333333333,4.1845333333333325,High priority / low risk
MSN-2025-005450,DRN-0104,2025-06-24,19:37:09,Parrot,Wind Turbine Inspection,90.67,94.8,1.24,96.23,0.16,0.16,No,29,1.0,0,0.08266666666666667,0.0,0.0,0.0,0.0,0.0016,0.24166666666666667,4.2481333333333335,High priority / low risk
MSN-2022-001254,DRN-0248,2022-02-06,08:58:12,Autel,Perimeter Surveillance,93.63,92.66,0.76,84.19,0.27,9.51,No,25,1.0,0,0.050666666666666665,0.020250000000000056,0.0,0.0,0.0,0.0951,0.20833333333333334,4.323300000000001,High priority / low risk
MSN-2023-003056,DRN-0329,2023-06-09,14:33:49,Custom,Warehouse Transfer,92.36,85.64,1.44,94.19,0.51,7.21,No,19,0.6,0,0.096,0.0,0.0040000000000000036,0.0,0.0,0.0721,0.15833333333333333,4.328133333333334,High priority / low risk
MSN-2024-005359,DRN-0127,2024-01-19,03:40:33,Custom,Safety Monitoring,95.14,92.43,1.45,98.57,0.44,16.29,No,11,3.1,0,0.09666666666666666,0.0,0.0,0.0,0.0,0.1629,0.09166666666666666,4.3465333333333325,High priority / low risk
MSN-2022-004603,DRN-0382,2022-03-15,14:28:12,Autel,Field Mapping,91.73,85.56,1.06,96.01,0.66,20.79,No,3,2.2,0,0.07066666666666667,0.0,0.06400000000000002,0.0,0.0,0.2079,0.025,4.3638666666666674,High priority / low risk
MSN-2023-004654,DRN-0363,2023-10-08,03:30:19,Autel,Road Survey,100.0,94.94,1.79,93.08,0.8,1.68,No,1,5.4,0,0.11933333333333333,0.0,0.12000000000000002,0.0,0.0,0.0168,0.008333333333333333,4.523066666666667,High priority / low risk
MSN-2022-001441,DRN-0519,2022-08-14,23:16:44,Autel,Search and Rescue,91.76,79.27,1.34,80.95,0.38,7.18,No,1,7.0,0,0.08933333333333333,0.10124999999999992,0.0,0.0,0.01460000000000008,0.0718,0.008333333333333333,4.562366666666666,High priority / low risk
MSN-2025-007392,DRN-0259,2025-04-09,11:13:00,Autel,Power Line Inspection,96.15,84.51,1.35,90.66,0.73,1.89,No,14,8.0,0,0.09000000000000001,0.0,0.092,0.0,0.0,0.0189,0.11666666666666667,4.585866666666667,High priority / low risk
MSN-2023-002226,DRN-0434,2023-03-06,20:00:09,Parrot,Power Line Inspection,90.88,84.77,2.11,95.08,0.55,3.62,No,12,5.0,0,0.14066666666666666,0.0,0.020000000000000018,0.0,0.0,0.0362,0.1,4.664266666666667,High priority / low risk
MSN-2024-010016,DRN-0347,2024-12-31,07:08:05,DJI,Search and Rescue,100.0,94.08,0.55,79.57,0.26,16.81,No,1,2.0,0,0.03666666666666667,0.13575000000000018,0.0,0.0,0.0,0.1681,0.008333333333333333,4.678300000000003,High priority / low risk
MSN-2026-010692,DRN-0299,2026-04-13,07:15:18,DJI,Safety Monitoring,90.11,92.76,0.72,87.44,0.75,6.42,No,21,8.5,0,0.048,0.0,0.1,0.0,0.0,0.0642,0.175,4.7196,High priority / low risk
MSN-2022-002750,DRN-0199,2022-08-17,07:25:54,DJI,Tower Inspection,96.11,78.13,0.79,87.71,0.27,9.72,No,30,6.9,0,0.05266666666666667,0.0,0.0,0.0,0.03740000000000009,0.09720000000000001,0.25,4.735466666666667,High priority / low risk
MSN-2025-007784,DRN-0384,2025-08-25,04:05:03,DJI,Warehouse Transfer,89.4,82.98,2.1,82.76,0.26,3.67,No,1,0.6,0,0.14,0.05599999999999987,0.0,0.01999999999999981,0.0,0.036699999999999997,0.008333333333333333,4.744933333333329,High priority / low risk
MSN-2024-008909,DRN-0749,2024-05-04,13:00:28,Custom,Wind Turbine Inspection,89.82,93.17,0.82,87.15,0.51,3.02,No,38,7.3,0,0.05466666666666666,0.0,0.0040000000000000036,0.006000000000000227,0.0,0.0302,0.31666666666666665,4.750933333333337,High priority / low risk
MSN-2022-001443,DRN-0536,2022-01-22,05:39:58,Custom,Site Survey,98.1,83.65,1.62,87.06,0.4,1.6,No,27,1.2,0,0.10800000000000001,0.0,0.0,0.0,0.0,0.016,0.225,4.7540000000000004,High priority / low risk
MSN-2026-005364,DRN-0621,2026-06-07,00:24:16,Custom,Crop Health Survey,90.02,89.76,0.85,83.62,0.31,16.44,No,19,6.8,0,0.056666666666666664,0.034499999999999885,0.0,0.0,0.0,0.16440000000000002,0.15833333333333333,4.766199999999998,High priority / low risk
MSN-2023-000767,DRN-0589,2023-06-14,11:08:46,Custom,Tower Inspection,87.91,86.57,0.61,87.47,0.28,32.61,No,4,1.1,0,0.04066666666666666,0.0,0.0,0.06966666666666678,0.0,0.3261,0.03333333333333333,4.812133333333335,High priority / low risk
MSN-2021-005707,DRN-0656,2021-10-21,12:55:17,Parrot,Tower Inspection,90.8,80.54,1.21,90.32,0.75,2.05,No,18,8.0,0,0.08066666666666666,0.0,0.1,0.0,0.0,0.020499999999999997,0.15,4.838666666666668,High priority / low risk
MSN-2026-001653,DRN-0362,2026-03-09,23:03:35,Custom,Emergency Response,96.7,80.62,2.45,83.52,0.26,4.12,No,3,2.4,0,0.16333333333333336,0.0370000000000001,0.0,0.0,0.0,0.0412,0.025,4.838933333333336,High priority / low risk
MSN-2022-001752,DRN-0317,2022-04-20,14:17:27,DJI,Bridge Inspection,85.41,78.88,0.7,87.79,0.36,17.71,No,1,5.1,0,0.04666666666666666,0.0,0.0,0.1530000000000001,0.02240000000000009,0.1771,0.008333333333333333,4.8480000000000025,High priority / low risk
MSN-2024-006446,DRN-0383,2024-12-13,12:54:42,Parrot,Bridge Inspection,95.31,96.1,1.47,92.29,0.25,2.56,No,30,8.0,0,0.098,0.0,0.0,0.0,0.0,0.0256,0.25,4.8608,High priority / low risk
MSN-2024-004839,DRN-0517,2024-10-23,13:34:28,Custom,Precision Spraying,100.0,96.47,1.43,97.75,0.47,23.22,No,11,7.3,0,0.09533333333333333,0.0,0.0,0.0,0.0,0.2322,0.09166666666666666,4.8716,High priority / low risk
MSN-2025-001247,DRN-0655,2025-10-08,02:47:03,Autel,Field Mapping,98.61,83.57,1.11,98.48,0.16,14.05,No,26,2.3,0,0.07400000000000001,0.0,0.0,0.0,0.0,0.1405,0.21666666666666667,4.918666666666667,High priority / low risk
MSN-2024-004104,DRN-0189,2024-03-26,07:23:56,Custom,Perimeter Surveillance,95.61,81.73,1.3,83.44,0.41,7.37,No,21,3.3,0,0.08666666666666667,0.039000000000000055,0.0,0.0,0.0,0.0737,0.175,4.948266666666667,High priority / low risk
MSN-2023-012480,DRN-0392,2023-03-02,10:35:48,Autel,Road Survey,87.67,93.94,1.26,91.33,0.69,5.82,No,6,1.2,0,0.084,0.0,0.07599999999999998,0.0776666666666666,0.0,0.0582,0.05,4.964933333333333,High priority / low risk
MSN-2022-006250,DRN-0520,2022-06-12,21:12:07,Parrot,Network Site Survey,100.0,96.95,0.57,97.66,0.33,9.63,No,41,3.1,0,0.038,0.0,0.0,0.0,0.0,0.09630000000000001,0.3416666666666667,5.023066666666668,High priority / low risk
MSN-2023-007086,DRN-0173,2023-08-12,07:42:26,Parrot,Thermal Inspection,93.89,83.72,1.66,86.78,0.76,13.61,No,1,2.2,0,0.11066666666666666,0.0,0.10400000000000001,0.0,0.0,0.1361,0.008333333333333333,5.062800000000001,High priority / low risk
MSN-2021-010540,DRN-0481,2021-09-22,00:48:37,Autel,Network Site Survey,87.34,88.21,0.86,87.07,0.41,6.32,No,25,2.8,0,0.05733333333333333,0.0,0.0,0.08866666666666655,0.0,0.0632,0.20833333333333334,5.091599999999999,High priority / low risk
MSN-2026-007115,DRN-0698,2026-05-08,18:36:29,DJI,Road Survey,93.04,79.74,1.43,88.74,0.39,2.73,No,33,5.7,0,0.09533333333333333,0.0,0.0,0.0,0.005200000000000102,0.0273,0.275,5.107333333333335,High priority / low risk
MSN-2025-013493,DRN-0689,2025-04-29,05:01:39,Autel,Perimeter Surveillance,91.97,82.99,1.74,90.94,0.44,28.89,No,3,7.7,0,0.116,0.0,0.0,0.0,0.0,0.2889,0.025,5.1132,High priority / low risk
MSN-2022-009764,DRN-0343,2022-05-21,14:21:07,Autel,Thermal Inspection,88.62,93.49,1.07,83.09,0.46,9.99,No,15,6.4,0,0.07133333333333333,0.04774999999999992,0.0,0.04599999999999985,0.0,0.0999,0.125,5.12203333333333,High priority / low risk
MSN-2022-012238,DRN-0578,2022-09-30,07:28:16,Custom,Stockpile Measurement,87.81,91.69,1.66,91.1,0.36,2.31,No,18,1.4,0,0.11066666666666666,0.0,0.0,0.07299999999999993,0.0,0.0231,0.15,5.141466666666665,High priority / low risk
MSN-2025-005362,DRN-0377,2025-01-23,20:01:17,Custom,Emergency Response,96.37,95.67,1.16,91.94,0.93,3.6,No,9,0.5,0,0.07733333333333332,0.0,0.17200000000000001,0.0,0.0,0.036000000000000004,0.075,5.147333333333334,High priority / low risk
MSN-2021-001466,DRN-0721,2021-07-04,17:54:56,Custom,Search and Rescue,89.94,82.54,1.97,83.29,0.36,7.18,No,11,2.4,0,0.13133333333333333,0.042749999999999844,0.0,0.002000000000000076,0.0,0.0718,0.09166666666666666,5.1778999999999975,High priority / low risk
MSN-2024-011680,DRN-0676,2024-08-19,16:16:51,DJI,Perimeter Surveillance,95.58,94.73,0.83,98.6,0.21,3.68,No,44,4.0,0,0.05533333333333333,0.0,0.0,0.0,0.0,0.0368,0.36666666666666664,5.1784,High priority / low risk
MSN-2021-014048,DRN-0748,2021-03-22,09:31:35,Autel,Network Site Survey,87.16,82.33,0.63,94.57,0.39,22.27,No,14,3.0,0,0.042,0.0,0.0,0.09466666666666677,0.0,0.2227,0.11666666666666667,5.197600000000001,High priority / low risk
MSN-2023-005254,DRN-0444,2023-10-16,02:03:22,Custom,Search and Rescue,96.32,84.69,3.0,85.29,0.21,8.03,No,2,5.6,0,0.2,0.0,0.0,0.0,0.0,0.0803,0.016666666666666666,5.209066666666667,High priority / low risk
MSN-2022-004798,DRN-0587,2022-05-05,20:26:11,Autel,Solar Farm Inspection,96.41,91.24,1.71,90.38,0.34,3.59,No,29,0.8,0,0.114,0.0,0.0,0.0,0.0,0.0359,0.24166666666666667,5.211866666666667,High priority / low risk
MSN-2023-009472,DRN-0532,2023-12-21,16:17:09,DJI,Power Line Inspection,90.1,99.43,0.93,89.25,0.42,20.19,No,27,7.1,0,0.062000000000000006,0.0,0.0,0.0,0.0,0.20190000000000002,0.225,5.2292000000000005,High priority / low risk
MSN-2022-000642,DRN-0176,2022-01-27,21:55:03,Custom,Road Survey,98.67,79.03,2.63,93.39,0.38,1.68,No,13,2.9,0,0.1753333333333333,0.0,0.0,0.0,0.019399999999999976,0.0168,0.10833333333333334,5.230266666666665,High priority / low risk
MSN-2021-008252,DRN-0504,2021-05-02,20:03:01,DJI,Stockpile Measurement,94.41,88.23,0.9,95.19,0.8,16.87,No,11,3.2,0,0.060000000000000005,0.0,0.12000000000000002,0.0,0.0,0.16870000000000002,0.09166666666666666,5.2662666666666675,High priority / low risk
MSN-2021-008810,DRN-0427,2021-11-21,18:21:17,Parrot,Site Survey,89.03,79.26,2.25,92.25,0.29,17.69,No,0,4.8,0,0.15,0.0,0.0,0.0323333333333333,0.014799999999999898,0.1769,0.0,5.286266666666665,High priority / low risk
MSN-2022-001195,DRN-0401,2022-04-28,20:13:02,DJI,Solar Farm Inspection,93.34,89.5,1.25,92.49,0.87,15.36,No,2,7.2,0,0.08333333333333333,0.0,0.148,0.0,0.0,0.1536,0.016666666666666666,5.3008,High priority / low risk
MSN-2022-007306,DRN-0116,2022-06-24,03:54:14,DJI,Warehouse Transfer,93.63,88.4,0.65,85.18,0.47,29.35,No,24,0.6,0,0.043333333333333335,0.0,0.0,0.0,0.0,0.29350000000000004,0.2,5.301333333333334,High priority / low risk
MSN-2026-002779,DRN-0592,2026-05-18,13:08:01,Autel,Network Site Survey,92.83,90.29,1.01,85.87,0.4,8.94,No,38,8.5,0,0.06733333333333333,0.0,0.0,0.0,0.0,0.0894,0.31666666666666665,5.3632,High priority / low risk
MSN-2023-000462,DRN-0758,2023-02-13,20:34:28,DJI,Stockpile Measurement,99.46,97.32,1.3,92.33,0.29,30.61,No,13,0.7,0,0.08666666666666667,0.0,0.0,0.0,0.0,0.3061,0.10833333333333334,5.4388,High priority / low risk
MSN-2021-005404,DRN-0696,2021-06-15,22:57:24,Parrot,Crop Health Survey,93.53,97.13,0.7,86.09,1.11,2.15,No,10,1.6,0,0.04666666666666666,0.0,0.24400000000000005,0.0,0.0,0.0215,0.08333333333333333,5.448,High priority / low risk
MSN-2026-009646,DRN-0393,2026-02-15,08:47:55,Autel,Construction Progress,97.04,82.66,1.13,90.95,0.45,23.6,No,23,3.7,0,0.07533333333333332,0.0,0.0,0.0,0.0,0.23600000000000002,0.19166666666666668,5.462,High priority / low risk
MSN-2025-009105,DRN-0150,2025-09-24,08:26:18,Custom,Precision Spraying,91.31,88.78,1.41,95.46,0.33,26.01,No,16,3.9,0,0.094,0.0,0.0,0.0,0.0,0.2601,0.13333333333333333,5.4821333333333335,High priority / low risk
MSN-2024-013409,DRN-0620,2024-02-25,21:13:00,DJI,Network Site Survey,94.92,84.8,1.66,90.17,0.79,12.47,No,6,4.9,0,0.11066666666666666,0.0,0.11600000000000002,0.0,0.0,0.1247,0.05,5.556266666666668,High priority / low risk
MSN-2026-010941,DRN-0530,2026-02-23,18:53:28,Parrot,Safety Monitoring,98.11,91.88,1.62,93.97,0.54,9.02,No,27,6.6,0,0.10800000000000001,0.0,0.016000000000000014,0.0,0.0,0.0902,0.225,5.571600000000002,High priority / low risk
MSN-2021-011021,DRN-0736,2021-04-01,15:41:02,DJI,Thermal Inspection,88.4,84.83,1.41,97.18,0.52,14.48,No,18,4.3,0,0.094,0.0,0.008000000000000007,0.05333333333333314,0.0,0.1448,0.15,5.585066666666664,High priority / low risk
MSN-2021-001139,DRN-0275,2021-10-28,10:01:51,Autel,Search and Rescue,92.03,82.21,1.4,89.38,0.52,23.07,No,19,1.4,0,0.09333333333333332,0.0,0.008000000000000007,0.0,0.0,0.23070000000000002,0.15833333333333333,5.594266666666667,High priority / low risk
MSN-2021-012627,DRN-0755,2021-12-27,18:06:58,Parrot,Solar Farm Inspection,96.89,94.81,1.75,82.31,0.59,11.28,No,5,1.0,0,0.11666666666666667,0.06724999999999995,0.03599999999999999,0.0,0.0,0.1128,0.041666666666666664,5.600233333333334,High priority / low risk
MSN-2023-011956,DRN-0652,2023-08-09,09:38:27,Custom,Safety Monitoring,92.0,99.57,1.12,80.66,0.39,18.93,No,6,2.5,0,0.07466666666666667,0.10850000000000008,0.0,0.0,0.0,0.1893,0.05,5.610066666666667,High priority / low risk
MSN-2024-013307,DRN-0697,2024-03-25,18:31:14,DJI,Thermal Inspection,90.39,93.08,2.43,84.92,0.5,13.96,No,11,2.9,0,0.162,0.0019999999999999575,0.0,0.0,0.0,0.1396,0.09166666666666666,5.633466666666666,High priority / low risk
MSN-2024-002456,DRN-0126,2024-10-22,13:01:00,Autel,Solar Farm Inspection,89.97,85.0,1.37,90.57,0.72,18.31,No,11,0.7,0,0.09133333333333334,0.0,0.088,0.001000000000000038,0.0,0.18309999999999998,0.09166666666666666,5.636800000000002,High priority / low risk
MSN-2022-002821,DRN-0549,2022-05-30,04:29:43,DJI,Tower Inspection,90.94,90.69,0.65,83.97,0.93,19.05,No,5,4.3,0,0.043333333333333335,0.02575000000000003,0.17200000000000001,0.0,0.0,0.1905,0.041666666666666664,5.765500000000001,High priority / low risk
MSN-2023-006311,DRN-0745,2023-07-31,21:08:49,Custom,Safety Monitoring,90.18,85.52,1.68,88.49,0.39,16.41,No,24,3.9,0,0.112,0.0,0.0,0.0,0.0,0.1641,0.2,5.776800000000001,High priority / low risk
MSN-2024-009172,DRN-0730,2024-02-21,10:35:19,DJI,Network Site Survey,90.51,92.35,1.82,90.46,0.76,6.14,No,14,6.9,0,0.12133333333333333,0.0,0.10400000000000001,0.0,0.0,0.061399999999999996,0.11666666666666667,5.7832,High priority / low risk
MSN-2023-011161,DRN-0354,2023-04-22,23:28:36,Autel,Stockpile Measurement,96.63,95.74,3.0,94.1,0.34,14.2,No,3,7.0,0,0.2,0.0,0.0,0.0,0.0,0.142,0.025,5.7860000000000005,High priority / low risk
MSN-2023-002315,DRN-0695,2023-02-16,22:39:33,DJI,Solar Farm Inspection,88.29,97.56,1.37,85.31,0.19,7.07,No,29,0.5,0,0.09133333333333334,0.0,0.0,0.056999999999999794,0.0,0.0707,0.24166666666666667,5.789599999999997,High priority / low risk
MSN-2025-012825,DRN-0329,2025-02-04,14:21:55,Autel,Crop Health Survey,96.49,90.49,1.32,85.0,0.3,3.46,No,43,6.8,0,0.08800000000000001,0.0,0.0,0.0,0.0,0.0346,0.35833333333333334,5.796133333333334,High priority / low risk
MSN-2025-012168,DRN-0129,2025-07-21,11:42:16,Parrot,Power Line Inspection,98.06,95.38,0.95,98.18,0.86,16.4,No,13,4.3,0,0.06333333333333332,0.0,0.144,0.0,0.0,0.16399999999999998,0.10833333333333334,5.804666666666667,High priority / low risk
MSN-2021-003889,DRN-0664,2021-02-05,22:04:38,Custom,Field Mapping,91.35,93.84,0.56,80.73,0.29,6.54,No,31,5.5,0,0.037333333333333336,0.1067499999999999,0.0,0.0,0.0,0.0654,0.25833333333333336,5.849366666666665,High priority / low risk
MSN-2023-006453,DRN-0133,2023-10-06,09:10:52,Parrot,Stockpile Measurement,99.28,87.68,1.95,93.34,0.44,10.59,No,26,4.4,0,0.13,0.0,0.0,0.0,0.0,0.1059,0.21666666666666667,5.873866666666667,High priority / low risk
MSN-2021-005785,DRN-0773,2021-12-18,15:24:44,Custom,Safety Monitoring,95.28,92.77,2.16,92.45,0.33,19.28,No,14,7.7,0,0.14400000000000002,0.0,0.0,0.0,0.0,0.1928,0.11666666666666667,5.877066666666667,High priority / low risk
MSN-2021-002709,DRN-0636,2021-10-24,15:02:32,Autel,Stockpile Measurement,86.9,95.19,0.9,86.58,0.52,18.81,No,18,2.5,0,0.060000000000000005,0.0,0.008000000000000007,0.10333333333333314,0.0,0.1881,0.15,5.883466666666664,High priority / low risk
MSN-2023-006717,DRN-0548,2023-12-25,23:17:26,Custom,Precision Spraying,91.2,97.1,2.68,96.05,0.29,16.1,No,8,8.4,0,0.17866666666666667,0.0,0.0,0.0,0.0,0.161,0.06666666666666667,5.885333333333334,High priority / low risk
MSN-2022-004160,DRN-0152,2022-11-08,12:56:26,Custom,Road Survey,93.22,81.81,1.26,84.56,1.04,9.01,No,2,8.2,0,0.084,0.010999999999999944,0.21600000000000003,0.0,0.0,0.0901,0.016666666666666666,5.957466666666666,High priority / low risk
MSN-2023-000457,DRN-0396,2023-03-17,02:43:20,Autel,Thermal Inspection,85.25,93.75,0.55,84.3,0.38,9.09,No,23,6.2,0,0.03666666666666667,0.01750000000000007,0.0,0.15833333333333333,0.0,0.0909,0.19166666666666668,5.9822000000000015,High priority / low risk
MSN-2023-013320,DRN-0499,2023-05-03,22:27:34,Custom,Site Survey,95.05,90.61,0.89,81.86,0.41,17.27,No,23,3.6,0,0.059333333333333335,0.07850000000000001,0.0,0.0,0.0,0.1727,0.19166666666666668,6.016600000000001,High priority / low risk
MSN-2026-006018,DRN-0429,2026-01-14,13:14:41,DJI,Field Mapping,93.41,91.08,1.59,89.1,0.66,29.97,No,5,5.6,0,0.10600000000000001,0.0,0.06400000000000002,0.0,0.0,0.29969999999999997,0.041666666666666664,6.0422666666666665,High priority / low risk
MSN-2025-014005,DRN-0752,2025-06-05,22:45:15,Custom,Perimeter Surveillance,99.43,83.92,1.02,84.61,0.85,9.41,No,20,7.7,0,0.068,0.009750000000000014,0.13999999999999999,0.0,0.0,0.0941,0.16666666666666666,6.050966666666667,High priority / low risk
MSN-2022-013686,DRN-0738,2022-12-01,19:29:45,Custom,Precision Spraying,92.69,86.13,1.32,93.26,0.57,34.16,No,12,8.4,0,0.08800000000000001,0.0,0.02799999999999998,0.0,0.0,0.34159999999999996,0.1,6.0608,High priority / low risk
MSN-2022-011983,DRN-0199,2022-05-02,22:36:24,DJI,Thermal Inspection,88.59,94.89,0.7,82.53,0.25,26.38,No,14,6.9,0,0.04666666666666666,0.06174999999999997,0.0,0.04699999999999989,0.0,0.2638,0.11666666666666667,6.073233333333331,High priority / low risk
MSN-2025-014218,DRN-0311,2025-05-29,19:44:21,DJI,Thermal Inspection,98.48,94.73,0.98,97.85,1.27,4.07,No,0,7.0,0,0.06533333333333333,0.0,0.308,0.0,0.0,0.0407,0.0,6.074933333333334,High priority / low risk
MSN-2026-008667,DRN-0529,2026-07-12,22:56:52,DJI,Field Mapping,86.66,97.76,2.6,87.49,0.43,0.49,No,8,0.9,0,0.17333333333333334,0.0,0.0,0.11133333333333345,0.0,0.0049,0.06666666666666667,6.077866666666669,High priority / low risk
MSN-2023-006457,DRN-0452,2023-07-27,13:07:19,Custom,Thermal Inspection,86.47,82.7,0.73,96.17,0.29,17.0,No,24,7.7,0,0.048666666666666664,0.0,0.0,0.11766666666666671,0.0,0.17,0.2,6.078000000000001,High priority / low risk
MSN-2025-010010,DRN-0566,2025-08-25,18:58:01,Parrot,Field Mapping,91.46,88.16,1.3,93.68,0.27,1.27,No,49,6.8,0,0.08666666666666667,0.0,0.0,0.0,0.0,0.0127,0.4083333333333333,6.0916,High priority / low risk
